(A)chondrite,id,Class,Country,latitude,longitude,ff,Group,Locality,mck,Month,Name,Petrologic type,Recovered weight,Shock stage,Synonyms,Type,wg,Year
Chondrite,44229,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.823,,Queen Alexandra Range 97823,5,0.0163999999999999,,,Stone,A/B,1997.0
Chondrite,43191,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.608,,Queen Alexandra Range 94608,6,0.0008,,,Stone,B/C,1994.0
Chondrite,43540,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.130,,Queen Alexandra Range 97130,5,0.0126,,,Stone,B,1997.0
Chondrite,43324,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.742,,Queen Alexandra Range 94742,6,0.0057,,,Stone,B/C,1994.0
Chondrite,43626,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.216,,Queen Alexandra Range 97216,5,0.0096,,,Stone,A/B,1997.0
Chondrite,44232,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.826,,Queen Alexandra Range 97826,5,0.0013,,,Stone,A/B,1997.0
Chondrite,43195,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q94.612,,Queen Alexandra Range 94612,6,0.0012,,,Stone,B,1994.0
Chondrite,43542,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.132,,Queen Alexandra Range 97132,5,0.0015,,,Stone,B,1997.0
Chondrite,43330,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.748,,Queen Alexandra Range 94748,5,0.0225,,,Stone,B,1994.0
Chondrite,43627,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.217,,Queen Alexandra Range 97217,5,0.0099,,,Stone,A/B,1997.0
Chondrite,44243,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.837,,Queen Alexandra Range 97837,5,0.0009,,,Stone,A/B,1997.0
Chondrite,43204,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.621,,Queen Alexandra Range 94621,5,0.0472,,,Stone,B,1994.0
Chondrite,43543,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.133,,Queen Alexandra Range 97133,6,0.0182,,,Stone,B,1997.0
Chondrite,43335,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.753,,Queen Alexandra Range 94753,5,0.0288,,,Stone,A/B,1994.0
Chondrite,43628,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.218,,Queen Alexandra Range 97218,5,0.0186,,,Stone,A/B,1997.0
Chondrite,44247,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.841,,Queen Alexandra Range 97841,5,0.117,,,Stone,A,1997.0
,43210,,Antarctica,-84.0,168.0,Find,,Victoria Land,Q94.627,,Queen Alexandra Range 94627,,0.0305,,,Iron,B,1994.0
Chondrite,43544,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.134,,Queen Alexandra Range 97134,5,0.0046,,,Stone,B,1997.0
Chondrite,43339,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.757,,Queen Alexandra Range 94757,5,0.0382999999999999,,,Stone,B/C,1994.0
Chondrite,43636,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.226,,Queen Alexandra Range 97226,5,0.0349,,,Stone,B/C,1997.0
Chondrite,44248,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.842,,Queen Alexandra Range 97842,5,0.068,,,Stone,C,1997.0
Chondrite,43212,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.629,,Queen Alexandra Range 94629,5,0.0676,,,Stone,B,1994.0
Chondrite,43546,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.136,,Queen Alexandra Range 97136,5,0.0076,,,Stone,B,1997.0
Chondrite,43344,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.762,,Queen Alexandra Range 94762,6,0.0271,,,Stone,B/C,1994.0
Chondrite,43644,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.234,,Queen Alexandra Range 97234,5,0.003,,,Stone,A/B,1997.0
Chondrite,44250,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.844,,Queen Alexandra Range 97844,5,0.065,,,Stone,A,1997.0
Chondrite,43213,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.630,,Queen Alexandra Range 94630,5,0.0569,,,Stone,B,1994.0
Chondrite,43550,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.140,,Queen Alexandra Range 97140,5,0.0243,,,Stone,B,1997.0
Chondrite,43345,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.763,,Queen Alexandra Range 94763,6,0.005,,,Stone,B,1994.0
Chondrite,43647,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.237,,Queen Alexandra Range 97237,5,0.0011,,,Stone,A/B,1997.0
Chondrite,44255,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q97.849,,Queen Alexandra Range 97849,6,0.1158,,,Stone,B/C,1997.0
Chondrite,43216,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.633,,Queen Alexandra Range 94633,5,0.0639,,,Stone,Be,1994.0
Chondrite,43551,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.141,,Queen Alexandra Range 97141,5,0.0209,,,Stone,B,1997.0
Chondrite,43347,Ordinary,Antarctica,-84.0,168.0,Find,H,Victoria Land,Q94.765,,Queen Alexandra Range 94765,6,0.0013,,,Stone,B/Ce,1994.0
Chondrite,43654,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.244,,Queen Alexandra Range 97244,5,0.0096,,,Stone,B,1997.0
Chondrite,44257,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q97.851,,Queen Alexandra Range 97851,5,0.0469,,,Stone,B/C,1997.0
Chondrite,43217,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.634,,Queen Alexandra Range 94634,5,0.0569,,,Stone,B,1994.0
Chondrite,43554,Ordinary,Antarctica,-84.0,168.0,Find,LL,Victoria Land,Q97.144,,Queen Alexandra Range 97144,5,0.0315,,,Stone,B,1997.0
Chondrite,43357,Ordinary,Antarctica,-84.0,168.0,Find,L,Victoria Land,Q94.775,,Queen Alexandra Range 94775,4,0.0011,,,Stone,B,1994.0
